#     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
#
 0.10000E+02   0.16279E+00   0.26628E+00   0.16542E+01   0.32649E-02   0.64542E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.16523E+00   0.26145E+00   0.16501E+01   0.31838E-02   0.61211E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.16770E+00   0.25657E+00   0.16459E+01   0.31089E-02   0.57991E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17022E+00   0.25165E+00   0.16417E+01   0.30402E-02   0.54880E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17277E+00   0.24667E+00   0.16373E+01   0.29772E-02   0.51879E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17536E+00   0.24165E+00   0.16328E+01   0.29198E-02   0.48987E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17799E+00   0.23658E+00   0.16283E+01   0.28675E-02   0.46202E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18066E+00   0.23147E+00   0.16236E+01   0.28202E-02   0.43524E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18336E+00   0.22631E+00   0.16188E+01   0.27774E-02   0.40952E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18611E+00   0.22110E+00   0.16140E+01   0.27389E-02   0.38484E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18890E+00   0.21586E+00   0.16090E+01   0.27042E-02   0.36119E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.19173E+00   0.21058E+00   0.16039E+01   0.26731E-02   0.33856E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.19461E+00   0.20526E+00   0.15987E+01   0.26452E-02   0.31692E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.19753E+00   0.19991E+00   0.15934E+01   0.26201E-02   0.29627E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20049E+00   0.19453E+00   0.15880E+01   0.25974E-02   0.27658E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20349E+00   0.18912E+00   0.15825E+01   0.25769E-02   0.25783E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20654E+00   0.18369E+00   0.15769E+01   0.25581E-02   0.24000E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20964E+00   0.17825E+00   0.15711E+01   0.25408E-02   0.22308E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.21278E+00   0.17280E+00   0.15652E+01   0.25245E-02   0.20703E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.21597E+00   0.16734E+00   0.15593E+01   0.25090E-02   0.19184E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.21921E+00   0.16188E+00   0.15532E+01   0.24940E-02   0.17748E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.22250E+00   0.15643E+00   0.15469E+01   0.24790E-02   0.16393E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.22583E+00   0.15099E+00   0.15406E+01   0.24639E-02   0.15116E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.22922E+00   0.14557E+00   0.15341E+01   0.24484E-02   0.13915E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.23265E+00   0.14017E+00   0.15275E+01   0.24322E-02   0.12786E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.23614E+00   0.13481E+00   0.15208E+01   0.24150E-02   0.11728E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.23968E+00   0.12948E+00   0.15140E+01   0.23967E-02   0.10738E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.24327E+00   0.12421E+00   0.15070E+01   0.23770E-02   0.98127E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
