     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
 0.10000E+02   0.11910E+00   0.81033E+00   0.34436E+00   0.34745E+00   0.35278E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12089E+00   0.79907E+00   0.34391E+00   0.34409E+00   0.34079E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12270E+00   0.78777E+00   0.34345E+00   0.34068E+00   0.32864E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12454E+00   0.77645E+00   0.34297E+00   0.33723E+00   0.31638E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12640E+00   0.76510E+00   0.34248E+00   0.33373E+00   0.30404E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12830E+00   0.75374E+00   0.34197E+00   0.33018E+00   0.29168E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13022E+00   0.74236E+00   0.34144E+00   0.32658E+00   0.27933E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13217E+00   0.73099E+00   0.34090E+00   0.32294E+00   0.26704E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13416E+00   0.71962E+00   0.34034E+00   0.31925E+00   0.25486E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13617E+00   0.70825E+00   0.33976E+00   0.31551E+00   0.24282E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13821E+00   0.69691E+00   0.33917E+00   0.31173E+00   0.23098E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14028E+00   0.68558E+00   0.33856E+00   0.30791E+00   0.21936E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14238E+00   0.67428E+00   0.33794E+00   0.30404E+00   0.20800E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14452E+00   0.66302E+00   0.33729E+00   0.30013E+00   0.19693E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14668E+00   0.65180E+00   0.33663E+00   0.29618E+00   0.18618E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14888E+00   0.64063E+00   0.33595E+00   0.29219E+00   0.17579E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15111E+00   0.62951E+00   0.33525E+00   0.28816E+00   0.16576E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15338E+00   0.61845E+00   0.33454E+00   0.28410E+00   0.15613E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
