     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
 0.10000E+02   0.11561E+00   0.36251E+00   0.17298E+01   0.74134E-02   0.64057E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11734E+00   0.35869E+00   0.17272E+01   0.71780E-02   0.62843E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.11910E+00   0.35484E+00   0.17246E+01   0.69464E-02   0.61632E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12089E+00   0.35095E+00   0.17220E+01   0.67190E-02   0.60424E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12270E+00   0.34703E+00   0.17193E+01   0.64963E-02   0.59217E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12454E+00   0.34308E+00   0.17166E+01   0.62786E-02   0.58012E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12640E+00   0.33909E+00   0.17138E+01   0.60665E-02   0.56807E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.12830E+00   0.33506E+00   0.17109E+01   0.58603E-02   0.55603E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13022E+00   0.33100E+00   0.17080E+01   0.56603E-02   0.54398E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13217E+00   0.32689E+00   0.17050E+01   0.54668E-02   0.53192E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13416E+00   0.32275E+00   0.17020E+01   0.52800E-02   0.51986E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13617E+00   0.31857E+00   0.16989E+01   0.51002E-02   0.50779E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.13821E+00   0.31435E+00   0.16958E+01   0.49275E-02   0.49571E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14028E+00   0.31009E+00   0.16925E+01   0.47621E-02   0.48363E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14238E+00   0.30578E+00   0.16892E+01   0.46040E-02   0.47154E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14452E+00   0.30144E+00   0.16859E+01   0.44533E-02   0.45944E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14668E+00   0.29704E+00   0.16824E+01   0.43100E-02   0.44735E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.14888E+00   0.29260E+00   0.16789E+01   0.41740E-02   0.43526E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15111E+00   0.28812E+00   0.16753E+01   0.40452E-02   0.42318E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15338E+00   0.28359E+00   0.16716E+01   0.39236E-02   0.41112E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15568E+00   0.27901E+00   0.16679E+01   0.38090E-02   0.39908E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15801E+00   0.27438E+00   0.16640E+01   0.37012E-02   0.38707E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.16038E+00   0.26971E+00   0.16601E+01   0.36000E-02   0.37510E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.16279E+00   0.26498E+00   0.16561E+01   0.35051E-02   0.36318E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
